price,enrollment,rating,num_ratings
69.99,"4,272",4.6,788
19.99,"2,643",4.6,485
24.99,"3,399",4.6,479
84.99,"3,553",4.6,333
94.99,"1,147",4.6,205
29.99,"7,634",4.6,186
19.99,811,4.6,48
34.99,114,4.6,19
84.99,85,4.6,18
19.99,"1,080",4.6,15
84.99,"1,019",4.6,8
19.99,"1,135",4.6,8
29.99,740,4.6,7
19.99,253,4.6,6
79.99,"1,047",4.6,5
19.99,101,4.6,2
99.99,"45,439",4.5,"7,467"
49.99,"47,379",4.5,"2,390"
84.99,"16,123",4.5,"1,871"
84.99,"6,592",4.5,446
84.99,"6,321",4.5,207
19.99,523,4.5,102
84.99,36,5.0,11
84.99,12,5.0,8
19.99,7,5.0,1
64.99,"2,913",4.8,916
84.99,222,4.8,20
84.99,65,4.8,5
39.99,"15,034",4.7,"4,347"
74.99,"3,592",4.7,482
84.99,"1,626",4.7,145
54.99,372,4.7,83
84.99,"67,075",4.6,"13,490"
64.99,"18,478",4.6,"5,372"
109.99,"24,635",4.6,"5,306"
39.99,"8,977",4.6,"2,184"
124.99,"145,277",4.6,"1,617"
39.99,"6,892",4.6,"1,157"
49.99,"5,148",4.6,887
99.99,"4,136",4.6,744
49.99,"7,975",4.6,313
84.99,"1,560",4.6,214
84.99,586,4.6,53
84.99,"35,531",4.5,"6,386"
84.99,"31,095",4.5,"5,261"
39.99,"14,375",4.6,"3,377"
84.99,"4,281",4.5,351
94.99,950,4.5,294
84.99,"10,505",4.5,115
