,Unnamed: 0,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
392,392,4548096,/course/az-900-microsoft-azure-fundamentals-practice-tests-feb-22/,Practice Tests - AZ-900: Azure Fundamentals - Latest,2022-02-12,324,True,19.99,3.8,67,216.0
393,393,2651556,/course/real-time-data-stream-processing-in-azure/,Real-Time Data Stream Processing In Azure,2019-11-12,1059,True,34.99,3.85,255,1.5
394,394,4269156,/course/azure-security-for-busy-net-developers-add-key-vault/,Azure Security For Busy .Net Developers (ADD & Key Vault),2021-08-29,6846,True,19.99,4.0,4,4.0
395,395,2695800,/course/exam-az-301-microsoft-azure-architect-design/,Architecting and Designing in Microsoft Azure,2019-12-08,1799,True,84.99,4.25,44,10.0
396,396,3601872,/course/exam-az-900-microsoft-azure-fundamentals-2020/,Exam AZ-900: Microsoft Azure Fundamentals 2020,2020-10-29,4,True,19.99,5.0,3,182.0
397,397,2896750,/course/complete-azure-web-apps-paas-course/,Complete Azure Web Apps (Paas) Course,2020-03-21,167,True,19.99,4.3,32,2.5
398,398,4336330,/course/az-900-microsoft-azure-fundamentals-exam-preparation-test/,Microsoft AZ-900: Azure Fundamentals Exam Preparation Test,2021-10-06,26337,True,19.99,4.0833335,198,110.0
399,399,1866224,/course/azure-machine-learning-using-cognitive-services/,Azure Machine Learning using Cognitive Services,2018-08-20,4166,True,99.99,4.05,399,16.5
400,400,3604964,/course/az900-finalcountdown/,AZ-900 | Azure Fundamentals | Final Countdown,2020-10-31,1907,True,19.99,4.8,30,77.0
401,401,4736002,/course/6-practice-exams-azure-fundamentals-az-900/,6 Practice Exams | Azure Fundamentals AZ-900 2022 [UPDATED],2022-06-15,19,True,29.99,5.0,6,315.0
402,402,4544790,/course/designing-a-production-grade-azure-kubernetes-service-aks/,Designing a Production Grade Azure Kubernetes Service(AKS),2022-02-10,215,True,19.99,4.2,24,3.5
403,403,4144880,/course/azure-cosmos-db-nosql-db-for-busy-net-developers/,Azure Cosmos DB - NoSQL DB For Busy .Net Developers,2021-06-25,7888,True,19.99,3.25,21,4.0
404,404,4370416,/course/azure-az-700/,Designing and Implementing Microsoft Azure Networking Day 1,2021-10-28,2059,True,24.99,4.9,12,7.5
405,405,2435670,/course/azure-sql-database/,The Complete Azure SQL Database Bootcamp:Beginner To Expert,2019-06-29,2851,True,39.99,4.25,235,2.0
406,406,4609994,/course/learn-azure-bicep/,Learn Infra as Code with Azure Bicep,2022-03-23,15308,True,19.99,3.9642856,67,1.5
407,407,5008022,/course/microsoft-azure-fundamentals-pack-az-900-dp-900-ai-900/,Microsoft Azure Fundamentals Pack - AZ-900 + DP-900 + AI-900,2022-12-03,3867,True,19.99,4.714286,7,444.0
408,408,4786992,/course/mastering-azure-devops-cicd-pipelines-with-yaml/,Mastering Azure Devops CI/CD Pipelines with YAML,2022-07-18,354,True,39.99,3.7272727,27,4.0
409,409,2732082,/course/the-cloud-solution-architect-presales/,The Cloud Solution Architect (AWS/Azure/GCP) - PreSales,2020-01-01,623,True,29.99,4.3,146,3.0
410,410,4339770,/course/az-104-azure-administrator-associate-complete-preparation/,AZ-104 Azure Administrator Associate Complete Preparation,2021-10-08,443,True,84.99,4.3,123,22.5
411,411,4788164,/course/azure-with-powershell/,Using Powershell for Microsoft Azure infrastructure,2022-07-18,2021,True,19.99,4.625,8,2.0
412,412,3818320,/course/practice-exams-microsoft-azure-exam-az-220-iot-developer/,Practice Exams | Microsoft Azure Exam AZ-220 IoT Developer,2021-02-01,956,True,19.99,3.85,86,400.0
