,course_id,urls,title,date_created,num_subscribers,is_paid,price,avg_rating,num_ratings,content_duration
29,4909188,/course/google-cloud-digital-leader-gcp-practice-exams/,Google Cloud Digital Leader (GCP): 4 New Practice Exams 2022,2022-10-02T08:04:47Z,386,True,84.99,4.478261,85,216
30,4131772,/course/google-cloud-digital-leader-certification-guide/,Google Cloud Digital Leader Certification For Beginner - GCP,2021-06-18T13:55:41Z,3605,True,19.99,4.439597,499,9
31,3834108,/course/google-certified-professional-cloud-architect-practice-tests-s/,Google Certified Professional Cloud Architect Practice Tests,2021-02-08T13:03:11Z,5714,True,19.99,4.1764708,464,160
32,4411354,/course/gcpintro/,Introduction to Google Cloud - 1 Hour Crash Course,2021-11-23T19:29:12Z,4170,True,19.99,4.404878,932,1.5
33,4555898,/course/google-professional-cloud-architect-gcp-pca-exams/,Google Professional Cloud Architect - GCP PCA - Exams - 2023,2022-02-17T12:10:05Z,13561,True,19.99,4.3125,61,420
34,4674836,/course/google-cloud-digital-leader-certification-practice-exam-2022-e/,Google Cloud Digital Leader Certification Practice Exam 2023,2022-05-06T10:00:29Z,2432,True,19.99,4.3464913,411,380
35,4682452,/course/google-cloud-certified-associate-engineer-practice-exams/,Google Certified Associate Cloud Engineer Practice Exams,2022-05-11T15:00:31Z,1365,True,19.99,4.4545455,24,331
36,3125272,/course/google-cloud-professional-data-engineer-get-certified/,Google Cloud Professional Data Engineer: Get Certified 2022,2020-05-13T23:16:27Z,51684,True,79.99,4.468992,3260,6.5
37,5044226,/course/google-gcp-professional-data-engineer-practice-test/,Google GCP Professional Data Engineer Practice test,2022-12-27T10:42:18Z,36,True,49.99,4.875,4,203
38,4918702,/course/master-data-engineering-using-gcp-data-analytics/,Master Data Engineering using GCP Data Analytics,2022-10-08T10:10:50Z,1069,True,84.99,4.57971,89,19.5
39,3406980,/course/google-certified-associate-cloud-engineer-practice-exams-gcp/,Google Certified Associate Cloud Engineer Practice Exams,2020-08-10T03:44:44Z,2173,True,34.99,4.534091,445,110
40,1343890,/course/google-cloud-architect-certifications/,Ultimate Google Certified Professional Cloud Architect 2022,2017-09-07T00:01:32Z,69686,True,99.99,3.9558823,5042,24
41,3591038,/course/google-cloud-associate-cloud-engineer-practice-examspractice-exams/,Google Cloud Associate Cloud Engineer Practice Tests,2020-10-24T19:46:16Z,20785,True,34.99,4.405629,2030,150
42,4580240,/course/google-professional-cloud-developer-gcp-exams/,Google Professional Cloud Developer - GCP PCD - Exams - 2023,2022-03-04T11:56:07Z,14596,True,19.99,4.181818,42,330
43,2726362,/course/gcp-associate-engineer/,Google Cloud Platform (GCP) Cert: Associate Cloud Engineer,2019-12-28T18:52:10Z,9013,True,49.99,4.4347825,1963,4
44,1284384,/course/google-cloud-for-techs/,Google Cloud Platform (GCP) - For Techs,2017-07-08T17:26:00Z,13099,True,19.99,4.521053,3107,5
45,4874348,/course/new-gcp-professional-cloud-architect-practice-exams-2022/,GCP Professional Cloud Architect Practice Exam 2023,2022-09-09T15:49:23Z,3374,True,19.99,4.230769,37,390
46,4952078,/course/google-cloud-digital-leader-certification-for-gcp-beginner/,Google Cloud Digital Leader Certification - For GCP Beginner,2022-10-29T15:26:10Z,925,True,24.99,4.7525773,97,10
47,4923094,/course/machine-learning-with-google-cloud/,Google Cloud Machine Learning  - Vertex AI,2022-10-11T10:45:41Z,212,True,19.99,4.3333335,18,8.5
48,4654274,/course/devsecops-in-gcp-integrate-sast-sca-dast-in-google-cloud-asecurityguru/,DevSecOps with GCP: Secure CI/CD with Google Cloud,2022-04-22T05:16:49Z,1007,True,19.99,4.5227275,70,3
49,4978672,/course/google-professional-cloud-devops-engineer-exam-questions/,GCP Google Professional Cloud DevOps Engineer Practice Test,2022-11-15T10:35:32Z,625,True,49.99,4.5277777,18,195
50,5061702,/course/30-days-of-google-cloud-the-complete-gcp-beginners-bootcamp/,30 Days of Google Cloud: The Complete GCP Beginners Bootcamp,2023-01-05T06:10:41Z,28,True,19.99,4.6666665,3,11.5
51,4756652,/course/gcp-professional-cloud-network-engineer-practice-test/,GCP Professional Cloud Network Engineer Practice Tests 2023,2022-06-28T16:45:18Z,458,True,29.99,4.25,43,110
52,4959794,/course/new-google-cloud-professional-data-engineer-practice-exams-2022/,Google Cloud Professional Data Engineer Practice Tests 2023,2022-11-03T15:17:51Z,650,True,19.99,4.4605265,41,320
53,4529088,/course/google-associate-cloud-engineer-gcp-ace-exams/,Google Associate Cloud Engineer - GCP ACE - Exams - 2023,2022-02-02T08:30:01Z,15685,True,19.99,4.0666666,65,300
54,4591436,/course/google-cloud-professional-data-engineer-gcp-exams/,Google Cloud Professional Data Engineer - GCP - Exams - 2023,2022-03-11T10:52:44Z,11405,True,19.99,3.7894738,71,360
